,acc_train,acc_val,cost_train,cost_val,decay_factor,epoch_nums,epochs,final_acc_train,final_acc_val,final_cost_train,final_cost_val,hidden_size,initial_learning_rate,momentum,plot,regularization
0,"[0.22289999999999999, 0.26960000000000001, 0.29930000000000001, 0.32369999999999999, 0.33710000000000001]","[0.216, 0.26069999999999999, 0.28510000000000002, 0.30480000000000002, 0.3135]","[2.300897263716867, 2.2168559344249092, 2.1198156396709034, 2.0481612945347654, 1.9997494466566776]","[2.3066001735906769, 2.2295487086126373, 2.1439212258708054, 2.0931943152647015, 2.0557738436833866]",0.998,"[0, 1, 2, 3, 4]",5,0.3371,0.3135,1.9997494466566776,2.0557738436833866,50,0.5,0.8,images/coarse_0.png,0.001
0,"[0.2145, 0.27429999999999999, 0.28939999999999999, 0.30299999999999999, 0.32150000000000001]","[0.20849999999999999, 0.26479999999999998, 0.28810000000000002, 0.29849999999999999, 0.31140000000000001]","[2.3117071535397464, 2.2110562341037641, 2.1317207974470045, 2.0710701219102505, 2.0163290796558448]","[2.3162066336041796, 2.2197900185859134, 2.1471646763331846, 2.0959046596031112, 2.0537444400392779]",0.998,"[0, 1, 2, 3, 4]",5,0.3215,0.3114,2.016329079655845,2.053744440039278,50,0.3,0.8,images/coarse_1.png,0.001
0,"[0.16919999999999999, 0.20349999999999999, 0.23119999999999999, 0.25190000000000001, 0.2787]","[0.1671, 0.20130000000000001, 0.22309999999999999, 0.24490000000000001, 0.26519999999999999]","[2.3783099841751687, 2.3034410597485255, 2.2446605708404141, 2.1946756214130807, 2.1480324147496668]","[2.3777540806851967, 2.3063686700419823, 2.2520557902421112, 2.2073945962804382, 2.1659233555850665]",0.998,"[0, 1, 2, 3, 4]",5,0.2787,0.2652,2.1480324147496668,2.1659233555850665,50,0.1,0.8,images/coarse_2.png,0.001
0,"[0.1182, 0.14860000000000001, 0.17799999999999999, 0.21440000000000001, 0.24129999999999999]","[0.1167, 0.1424, 0.17730000000000001, 0.2089, 0.23380000000000001]","[2.4214786233791488, 2.370094856478822, 2.3231948312441539, 2.2838423099516914, 2.2496939919947856]","[2.4196314674913535, 2.3706825289580182, 2.3259084703799631, 2.2886293727733702, 2.2566698663588727]",0.998,"[0, 1, 2, 3, 4]",5,0.2413,0.2338,2.2496939919947856,2.2566698663588727,50,0.05,0.8,images/coarse_3.png,0.001
0,"[0.10009999999999999, 0.10920000000000001, 0.129, 0.14860000000000001, 0.1673]","[0.094700000000000006, 0.1033, 0.1222, 0.1444, 0.15909999999999999]","[2.4581871692068038, 2.4400761672258096, 2.4180137875490537, 2.3946901223042447, 2.3721659752033957]","[2.4624011073778522, 2.4451682909777674, 2.4241756594099897, 2.4019757338180594, 2.3803646832392165]",0.998,"[0, 1, 2, 3, 4]",5,0.1673,0.1591,2.3721659752033957,2.3803646832392165,50,0.01,0.8,images/coarse_4.png,0.001
0,"[0.1108, 0.1149, 0.1196, 0.1231, 0.13]","[0.1067, 0.10929999999999999, 0.1143, 0.1212, 0.127]","[2.4634610020033532, 2.4580364189023785, 2.4508985854079128, 2.4425815008254506, 2.4334828796899131]","[2.4663412061630461, 2.4610757634120071, 2.4541581578981138, 2.4460903667028373, 2.4372873226291127]",0.998,"[0, 1, 2, 3, 4]",5,0.13,0.127,2.433482879689913,2.4372873226291127,50,0.005,0.8,images/coarse_5.png,0.001
0,"[0.12189999999999999, 0.123, 0.1236, 0.124, 0.1255]","[0.1226, 0.123, 0.1237, 0.12470000000000001, 0.12520000000000001]","[2.4471915759630196, 2.4459220825254473, 2.4442125179678045, 2.4421625579185786, 2.4398579833469802]","[2.4517957201482368, 2.4505628210434156, 2.4489064952204886, 2.4469225348356858, 2.4446911586424229]",0.998,"[0, 1, 2, 3, 4]",5,0.1255,0.1252,2.4398579833469802,2.444691158642423,50,0.001,0.8,images/coarse_6.png,0.001
0,"[0.22320000000000001, 0.28129999999999999, 0.3034, 0.33189999999999997, 0.35389999999999999]","[0.2157, 0.27100000000000002, 0.29339999999999999, 0.31869999999999998, 0.33910000000000001]","[2.7313497968555058, 2.5950046107771874, 2.5105988226671005, 2.4502187209967312, 2.377373521282014]","[2.7529362961882957, 2.6187147731248421, 2.536529676299951, 2.4852922230745182, 2.4257567370903947]",0.998,"[0, 1, 2, 3, 4]",5,0.3539,0.3391,2.377373521282014,2.4257567370903947,50,0.5,0.8,images/coarse_7.png,0.005
0,"[0.1951, 0.23330000000000001, 0.2656, 0.30980000000000002, 0.3256]","[0.19320000000000001, 0.2329, 0.25940000000000002, 0.2979, 0.31519999999999998]","[2.7724179518514278, 2.6792103468872179, 2.612333111424463, 2.5387672754987314, 2.478597991556696]","[2.7758160015464006, 2.6869617340905174, 2.625453476293286, 2.5592063728862389, 2.5065319445149794]",0.998,"[0, 1, 2, 3, 4]",5,0.3256,0.3152,2.478597991556696,2.5065319445149794,50,0.3,0.8,images/coarse_8.png,0.005
0,"[0.11990000000000001, 0.16450000000000001, 0.19589999999999999, 0.2319, 0.26340000000000002]","[0.11360000000000001, 0.15890000000000001, 0.18990000000000001, 0.22220000000000001, 0.2545]","[2.8686332900049085, 2.7899629267825103, 2.7346500683211348, 2.6844938770503948, 2.6355578345429684]","[2.8756232809713329, 2.7988476496664911, 2.7479567118746706, 2.701896107042538, 2.6567036747847976]",0.998,"[0, 1, 2, 3, 4]",5,0.2634,0.2545,2.6355578345429684,2.6567036747847976,50,0.1,0.8,images/coarse_9.png,0.005
