,acc_train,acc_val,cost_train,cost_val,decay_factor,epoch_nums,epochs,final_acc_train,final_acc_val,final_cost_train,final_cost_val,hidden_size,initial_learning_rate,momentum,plot,regularization
0,"[0.19819999999999999, 0.2336, 0.26190000000000002, 0.30099999999999999, 0.32319999999999999, 0.3523, 0.35880000000000001, 0.371, 0.37590000000000001, 0.39179999999999998]","[0.19239999999999999, 0.22750000000000001, 0.25640000000000002, 0.2964, 0.31140000000000001, 0.33210000000000001, 0.34379999999999999, 0.34889999999999999, 0.35210000000000002, 0.36630000000000001]","[2.7433650094715256, 2.6775276648990474, 2.5739929412352334, 2.4862127059330028, 2.4324215296525216, 2.3812902459689744, 2.3397476099354719, 2.2978914504857921, 2.2682332152259077, 2.2230309001992308]","[2.7490573233582589, 2.6934135245713464, 2.5869118633801662, 2.5054527763302006, 2.4604565072383608, 2.4167964684334486, 2.382554895405951, 2.3499357676761359, 2.3278059346172983, 2.288124765083698]",0.998,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.3918,0.3663,2.2230309001992308,2.288124765083698,50,0.35,0.8,images/fine_0.png,0.005
0,"[0.18690000000000001, 0.23380000000000001, 0.2853, 0.30359999999999998, 0.32550000000000001, 0.33279999999999998, 0.35099999999999998, 0.36299999999999999, 0.37369999999999998, 0.38019999999999998]","[0.18379999999999999, 0.22109999999999999, 0.26640000000000003, 0.28639999999999999, 0.31019999999999998, 0.32219999999999999, 0.33810000000000001, 0.34720000000000001, 0.35449999999999998, 0.35959999999999998]","[2.752741889720399, 2.666480425230886, 2.5849501616352217, 2.5097648406261226, 2.4444126811241609, 2.4056390700026138, 2.3545646195011636, 2.3181286766719755, 2.2856701724500978, 2.2565143435099007]","[2.7600704412547232, 2.6832616110953857, 2.6065930389089322, 2.5355770427244781, 2.4755660770522723, 2.4430556254634475, 2.3999339886612274, 2.3709675891852182, 2.3457614314176167, 2.322753514568249]",0.998,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.3802,0.3596,2.2565143435099007,2.322753514568249,50,0.31666666666666665,0.8,images/fine_1.png,0.005
0,"[0.19700000000000001, 0.23250000000000001, 0.26229999999999998, 0.30030000000000001, 0.32090000000000002, 0.34239999999999998, 0.36520000000000002, 0.3775, 0.38490000000000002, 0.39229999999999998]","[0.1986, 0.22819999999999999, 0.26169999999999999, 0.29299999999999998, 0.30890000000000001, 0.3266, 0.34639999999999999, 0.35089999999999999, 0.3594, 0.3654]","[2.7606598093924868, 2.6754480643672141, 2.609178252312212, 2.532516726988975, 2.4669183402542445, 2.411023130729999, 2.3608300279353847, 2.3205981243046123, 2.2856754118209177, 2.256620929116103]","[2.7613894186614534, 2.6808162029043405, 2.6222162406663294, 2.55442705416529, 2.496761755878568, 2.4493706924543299, 2.4092023793586224, 2.3790577292390163, 2.352644448317307, 2.3304650153717397]",0.998,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.3923,0.3654,2.256620929116103,2.3304650153717397,50,0.2833333333333333,0.8,images/fine_2.png,0.005
0,"[0.1719, 0.21659999999999999, 0.26429999999999998, 0.29349999999999998, 0.31659999999999999, 0.33539999999999998, 0.34699999999999998, 0.3604, 0.37690000000000001, 0.38490000000000002]","[0.17730000000000001, 0.2243, 0.26269999999999999, 0.2878, 0.30380000000000001, 0.31580000000000003, 0.32829999999999998, 0.34050000000000002, 0.34949999999999998, 0.35870000000000002]","[2.7909501895928295, 2.7032659052443981, 2.6116824054357273, 2.5431068966443666, 2.4977733849385997, 2.4471390912356408, 2.4005869828141266, 2.3643414431255358, 2.325956122128046, 2.2931283036047807]","[2.7896450517256088, 2.7063093951383759, 2.6237839707616883, 2.5630840362597969, 2.5232570374906591, 2.4778220792952323, 2.436465237104974, 2.4057885073323315, 2.3735755300049997, 2.3471023036106238]",0.998,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.3849,0.3587,2.2931283036047807,2.3471023036106238,50,0.25,0.8,images/fine_3.png,0.005
0,"[0.19719999999999999, 0.249, 0.2898, 0.30070000000000002, 0.32750000000000001, 0.34699999999999998, 0.35849999999999999, 0.37080000000000002, 0.37990000000000002, 0.39419999999999999]","[0.1953, 0.2422, 0.28010000000000002, 0.29239999999999999, 0.311, 0.32890000000000003, 0.33789999999999998, 0.3488, 0.35399999999999998, 0.36180000000000001]","[2.6805068651298241, 2.5815907644295759, 2.490733461897563, 2.426681509370443, 2.3626511894157241, 2.3165982526740843, 2.2808016427303124, 2.2431316213139167, 2.2090229150017562, 2.1745568467774419]","[2.6856616959517954, 2.596469790257701, 2.5137120464075702, 2.454569798087864, 2.3976739397765625, 2.3611354597928873, 2.3338625383729941, 2.3048858358571964, 2.2784059247639856, 2.249729806079551]",0.998,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.3942,0.3618,2.174556846777442,2.249729806079551,50,0.35,0.8,images/fine_4.png,0.00425
0,"[0.19370000000000001, 0.24610000000000001, 0.27439999999999998, 0.29160000000000003, 0.3206, 0.3468, 0.36180000000000001, 0.37140000000000001, 0.379, 0.38900000000000001]","[0.193, 0.24429999999999999, 0.27700000000000002, 0.2888, 0.31209999999999999, 0.33069999999999999, 0.33360000000000001, 0.34300000000000003, 0.35270000000000001, 0.36320000000000002]","[2.6788936434515089, 2.5866476717517961, 2.5071874013485513, 2.4443360238396346, 2.3846080217992074, 2.3331800839060053, 2.2915972227181705, 2.2521966503938109, 2.2171071255423969, 2.1863930008388985]","[2.6808886859530818, 2.5926676680409271, 2.5191740113758985, 2.4655161541917248, 2.4177045101352395, 2.3771135601795388, 2.342969907601653, 2.3086853729480148, 2.2781624096959217, 2.2523672186587862]",0.998,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.389,0.3632,2.1863930008388985,2.252367218658786,50,0.31666666666666665,0.8,images/fine_5.png,0.00425
0,"[0.2223, 0.2472, 0.26960000000000001, 0.30719999999999997, 0.32419999999999999, 0.33610000000000001, 0.3493, 0.36499999999999999, 0.37690000000000001, 0.3866]","[0.2175, 0.23699999999999999, 0.2656, 0.30049999999999999, 0.31209999999999999, 0.31890000000000002, 0.32890000000000003, 0.34150000000000003, 0.35260000000000002, 0.35720000000000002]","[2.6638414131503798, 2.5899741399736658, 2.5266767084096133, 2.4482432258247218, 2.3941722724455103, 2.3524786673914133, 2.3088302973557218, 2.2714154195926062, 2.2395216153084796, 2.2087754561039601]","[2.6682866224716837, 2.6031688346041815, 2.5451270062383, 2.4718090858478567, 2.4227116159724642, 2.3881662422320837, 2.3541287684732417, 2.3261971276767892, 2.3012134181959203, 2.2749510604580183]",0.998,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.3866,0.3572,2.20877545610396,2.2749510604580183,50,0.2833333333333333,0.8,images/fine_6.png,0.00425
0,"[0.1948, 0.23910000000000001, 0.26619999999999999, 0.2843, 0.3024, 0.32169999999999999, 0.3372, 0.35499999999999998, 0.36609999999999998, 0.37559999999999999]","[0.1862, 0.23880000000000001, 0.26979999999999998, 0.28660000000000002, 0.30180000000000001, 0.31540000000000001, 0.32479999999999998, 0.3372, 0.3478, 0.35549999999999998]","[2.7280923798493588, 2.6254303028619508, 2.5527251971670939, 2.4964452568880851, 2.4396838996592511, 2.3890374242473031, 2.3490274684169123, 2.309681852745773, 2.2733849251065856, 2.2429837976233538]","[2.7337893637311388, 2.6370821587225133, 2.569901826035017, 2.5192579905444026, 2.4672024783473914, 2.421345792789412, 2.3866217864142532, 2.3537735843600207, 2.3242181392928751, 2.3008225450104058]",0.998,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.3756,0.3555,2.2429837976233538,2.300822545010406,50,0.25,0.8,images/fine_7.png,0.00425
0,"[0.1905, 0.2324, 0.26390000000000002, 0.2843, 0.32900000000000001, 0.3518, 0.36509999999999998, 0.37540000000000001, 0.38650000000000001, 0.39650000000000002]","[0.17879999999999999, 0.22819999999999999, 0.26119999999999999, 0.27410000000000001, 0.32040000000000002, 0.33410000000000001, 0.3453, 0.35610000000000003, 0.35489999999999999, 0.36109999999999998]","[2.599481279986966, 2.502255742943956, 2.3996829695096284, 2.3525661277971599, 2.2850953443745734, 2.2373638938173226, 2.2036265562124182, 2.1634722856274498, 2.1306933891596875, 2.0991585261572481]","[2.6141205257136306, 2.5202068616668698, 2.4215139521704794, 2.3791316473904751, 2.3218044986327295, 2.2858997424900229, 2.2626689197582079, 2.2307419310987524, 2.2042706809683223, 2.1785840260849967]",0.998,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.3965,0.3611,2.099158526157248,2.1785840260849967,50,0.35,0.8,images/fine_8.png,0.0034999999999999996
0,"[0.1847, 0.24030000000000001, 0.2722, 0.30209999999999998, 0.3261, 0.34510000000000002, 0.3609, 0.37140000000000001, 0.37859999999999999, 0.38879999999999998]","[0.18149999999999999, 0.23710000000000001, 0.26650000000000001, 0.29809999999999998, 0.32169999999999999, 0.33300000000000002, 0.34079999999999999, 0.35139999999999999, 0.35759999999999997, 0.36830000000000002]","[2.60992144095054, 2.5115295960407713, 2.4256908351323636, 2.3597615436279602, 2.2978333909183268, 2.2493070129383366, 2.2167190860948405, 2.1856169441424993, 2.1540061238887254, 2.1253067863264357]","[2.6169462018097391, 2.5233883427582215, 2.4387371324985665, 2.3782332487804205, 2.3250695803702124, 2.2865727529075537, 2.2656035843052984, 2.2449103695660177, 2.2192007168924257, 2.1932202526177136]",0.998,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.3888,0.3683,2.1253067863264357,2.1932202526177136,50,0.31666666666666665,0.8,images/fine_9.png,0.0034999999999999996
