,batch_norm,confusion_matrix,decay_factor,epochs,final_acc_test,final_acc_train,final_acc_val,final_cost_test,final_cost_train,final_cost_val,hidden_layers,initial_learning_rate,momentum,plot,regularization
0,False,,0.99,15,0,0.384,0.362,0,1.7552973697604932,1.8596914278708054,"[50, 30]",0.01,0.8,images/deep_0.png,0
0,True,,0.99,15,0,0.47,0.36,0,1.5350025616696878,1.802639122563323,"[50, 30]",0.01,0.8,images/deep_1.png,0
0,True,,0.99,10,0,0.3558,0.274,0,2.0196980331384933,2.477758280481245,"[50, 30]",0.40573,0.8,images/deep_2.png,0.000192
0,True,,0.99,10,0,0.4126,0.315,0,1.744855673670719,2.0527208405254758,"[50, 30]",0.029202,0.8,images/deep_3.png,0.000192
0,True,,0.99,10,0,0.3898,0.326,0,1.7777513334099897,1.9688136710658757,"[50, 30]",0.012721,0.8,images/deep_4.png,0.000192
0,True,,0.99,10,0,0.2782,0.245,0,2.1335350291736637,2.287413138836265,"[50, 30]",0.003215,0.8,images/deep_5.png,0.000192
0,True,,0.99,10,0,0.1534,0.15,0,3.7826250117029105,4.240494925323111,"[50, 30]",0.40573,0.8,images/deep_6.png,0.000672
0,True,,0.99,10,0,0.4386,0.323,0,1.7092540584507299,2.0471593401340846,"[50, 30]",0.029202,0.8,images/deep_7.png,0.000672
0,True,,0.99,10,0,0.3416,0.29,0,1.9782086107340655,2.1415070128945666,"[50, 30]",0.012721,0.8,images/deep_8.png,0.000672
0,True,,0.99,10,0,0.2636,0.247,0,2.261512960899647,2.3834435212896685,"[50, 30]",0.003215,0.8,images/deep_9.png,0.000672
0,True,,0.99,10,0,0.2062,0.185,0,3.350048813030764,3.5402572808144646,"[50, 30]",0.40573,0.8,images/deep_10.png,0.003772
0,True,,0.99,10,0,0.3414,0.274,0,2.269600475902361,2.5113677972320807,"[50, 30]",0.029202,0.8,images/deep_11.png,0.003772
0,True,,0.99,10,0,0.3774,0.318,0,2.3458098339247297,2.5549149743985464,"[50, 30]",0.012721,0.8,images/deep_12.png,0.003772
0,True,,0.99,10,0,0.287,0.27,0,2.561341429186619,2.6598586517090093,"[50, 30]",0.003215,0.8,images/deep_13.png,0.003772
0,True,,0.99,10,0,0.177,0.167,0,2.488341354113822,2.52011343341249,"[50, 30]",0.40573,0.8,images/deep_14.png,0.03243
0,True,,0.99,10,0,0.2864,0.242,0,3.0214071870395083,3.0986879053455514,"[50, 30]",0.029202,0.8,images/deep_15.png,0.03243
0,True,,0.99,10,0,0.264,0.23,0,4.358143070158162,4.426725483170783,"[50, 30]",0.012721,0.8,images/deep_16.png,0.03243
0,True,,0.99,10,0,0.2754,0.245,0,5.973248772138264,6.068816500157945,"[50, 30]",0.003215,0.8,images/deep_17.png,0.03243
0,True,,0.99,10,0,0.1704,0.168,0,2.5268381655415637,2.5287921515349354,"[50, 30]",0.40573,0.8,images/deep_18.png,0.266132
0,True,,0.99,10,0,0.135,0.126,0,2.467653319715805,2.4723084770403068,"[50, 30]",0.029202,0.8,images/deep_19.png,0.266132
0,True,,0.99,10,0,0.1354,0.117,0,2.504355745635454,2.5081285907583615,"[50, 30]",0.012721,0.8,images/deep_20.png,0.266132
0,True,,0.99,10,0,0.1832,0.165,0,10.280499275525258,10.299905708753826,"[50, 30]",0.003215,0.8,images/deep_21.png,0.266132
0,True,,0.99,15,0,0.422,0.319,0,2.0541419208983767,2.24947122371883,"[50, 30]",0.043773,0.8,images/deep_22.png,0.012361
0,True,,0.99,15,0,0.42,0.304,0,2.1916481056196035,2.4034612980340433,"[50, 30]",0.029202,0.8,images/deep_23.png,0.012361
0,True,,0.99,15,0,0.2913,0.221,0,2.6456661784155884,2.8522934201958154,"[50, 30]",0.016231,0.8,images/deep_24.png,0.012361
0,True,,0.99,15,0,0.3131,0.285,0,3.67103229414771,3.741506213646696,"[50, 30]",0.001051,0.8,images/deep_25.png,0.012361
0,True,,0.99,15,0,0.3225,0.259,0,2.2740784333667143,2.3570814214737346,"[50, 30]",0.043773,0.8,images/deep_26.png,0.03243
0,True,,0.99,15,0,0.3355,0.299,0,2.242448596211501,2.3105333694293595,"[50, 30]",0.029202,0.8,images/deep_27.png,0.03243
0,True,,0.99,15,0,0.2774,0.249,0,2.512110976428269,2.579112959447786,"[50, 30]",0.016231,0.8,images/deep_28.png,0.03243
0,True,,0.99,15,0,0.3145,0.274,0,5.979468496606433,6.052907380292737,"[50, 30]",0.001051,0.8,images/deep_29.png,0.03243
0,True,,0.99,15,0,0.3398,0.283,0,2.2622329399328973,2.314320868790258,"[50, 30]",0.043773,0.8,images/deep_30.png,0.053913
0,True,,0.99,15,0,0.3865,0.315,0,2.2587106388885796,2.3312136868336144,"[50, 30]",0.029202,0.8,images/deep_31.png,0.053913
0,True,,0.99,15,0,0.3069,0.268,0,2.3927926574602685,2.4561745807816333,"[50, 30]",0.016231,0.8,images/deep_32.png,0.053913
0,True,,0.99,15,0,0.3437,0.314,0,7.826340949233149,7.8967136760711165,"[50, 30]",0.001051,0.8,images/deep_33.png,0.053913
0,True,,0.99,15,0,0.4008,0.335,0,2.0842096491731485,2.238788454684286,"[50, 30]",0.043773,0.8,images/deep_34.png,0.012361
0,True,,0.99,15,0,0.3461,0.283,0,2.3005791184755413,2.495075916827913,"[50, 30]",0.029202,0.8,images/deep_35.png,0.012361
0,True,,0.99,15,0,0.4356,0.344,0,2.390717809680666,2.611263912019216,"[50, 30]",0.016231,0.8,images/deep_36.png,0.012361
0,True,,0.99,15,0,0.3309,0.321,0,3.625422052136561,3.6867933354957394,"[50, 30]",0.001051,0.8,images/deep_37.png,0.012361
0,True,,0.99,15,0,0.3112,0.273,0,2.240240188310513,2.317709461370448,"[50, 30]",0.043773,0.8,images/deep_38.png,0.03243
0,True,,0.99,15,0,0.2841,0.228,0,2.3484870737193093,2.4312519938972232,"[50, 30]",0.029202,0.8,images/deep_39.png,0.03243
0,True,,0.99,15,0,0.3676,0.314,0,2.361453219204253,2.467506372453162,"[50, 30]",0.016231,0.8,images/deep_40.png,0.03243
0,True,,0.99,15,0,0.3377,0.316,0,5.977255748464872,6.045497026921875,"[50, 30]",0.001051,0.8,images/deep_41.png,0.03243
0,True,,0.99,15,0,0.2653,0.224,0,2.3646494157881395,2.4152336491018236,"[50, 30]",0.043773,0.8,images/deep_42.png,0.053913
0,True,,0.99,15,0,0.3282,0.3,0,2.2897204308750987,2.33371648501695,"[50, 30]",0.029202,0.8,images/deep_43.png,0.053913
0,True,,0.99,15,0,0.3991,0.334,0,2.3415189721560608,2.401242341403449,"[50, 30]",0.016231,0.8,images/deep_44.png,0.053913
0,True,,0.99,15,0,0.3433,0.307,0,7.837185337495092,7.904963685065019,"[50, 30]",0.001051,0.8,images/deep_45.png,0.053913
0,True,images/deep_46_conf.png,0.99,20,0.4083,0.4899,0.4073,1.7588560584835977,1.4567989780664317,1.758749099332067,"[50, 30]",0.029202,0.8,images/deep_46.png,0.0001
