,batch_norm,confusion_matrix,decay_factor,epochs,final_acc_test,final_acc_train,final_acc_val,final_cost_test,final_cost_train,final_cost_val,hidden_layers,initial_learning_rate,momentum,plot,regularization
0,False,,0.99,400,0,0.98,0.98,0,0.4871140835107606,0.4871140835107606,[],0.01,0.8,images/overfit_0.png,0
0,False,,0.99,400,0,0.87,0.87,0,0.9783761802084556,0.9783761802084556,[50],0.01,0.5,images/overfit_1.png,0
0,False,,0.99,400,0,0.98,0.98,0,0.5063109419905115,0.5063109419905115,[50],0.01,0.7,images/overfit_2.png,0
0,False,,0.99,400,0,1.0,1.0,0,0.17217366289985883,0.17217366289985883,[50],0.01,0.9,images/overfit_3.png,0
0,True,,0.99,400,0,1.0,1.0,0,0.29428930063226166,0.29428930063226166,[50],0.01,0.5,images/overfit_4.png,0
0,True,,0.99,400,0,1.0,1.0,0,0.12063870171329566,0.12063870171329566,[50],0.01,0.7,images/overfit_5.png,0
0,True,,0.99,400,0,1.0,1.0,0,0.051596742688083674,0.051596742688083674,[50],0.01,0.9,images/overfit_6.png,0
0,False,,0.99,400,0,0.99,0.99,0,0.3462859687142517,0.3462859687142517,"[50, 30]",0.01,0.8,images/overfit_7.png,0
0,True,,0.99,400,0,1.0,1.0,0,0.18919272023260494,0.18919272023260494,"[50, 30]",0.01,0.8,images/overfit_8.png,0
0,False,,0.99,400,0,0.62,0.62,0,1.1702252716421313,1.1702252716421313,"[50, 30, 15]",0.01,0.8,images/overfit_9.png,0
0,True,,0.99,400,0,0.96,0.96,0,0.5685155040542412,0.5685155040542412,"[50, 30, 15]",0.01,0.8,images/overfit_10.png,0
